"tipologia(FruttaVerdura,Pesce,Carne,Casa,Elettronica)","stagione","zona supermercato(Periferia,Residenziale)","festività(Feriale,Lavorativo)","scadenza(Breve,Media,Lunga)","dimensione confezione(Piccola,Media,Grande)","costo(prezzo)","spedizione(prezzo)","fornitura(20-50-100-150-200-300-500)"
"Elettronica","Inverno","Periferia","Lavorativo","Media","Media",200.00,10,50
"Elettronica","Inverno","Periferia","Lavorativo","Media","Media",100.00,10,200
"Elettronica","Inverno","Periferia","Lavorativo","Lunga","Media",200.00,10,100
"Elettronica","Inverno","Periferia","Lavorativo","Media","Piccola",200.00,10,50
"Elettronica","Inverno","Periferia","Lavorativo","Media","Piccola",10.00,10,100
"Elettronica","Inverno","Periferia","Feriale","Media","Media",200.00,10,100
"Elettronica","Inverno","Periferia","Feriale","Media","Piccola",200.00,10,100
"Elettronica","Inverno","Periferia","Feriale","Lunga","Media",200.00,10,100
"Elettronica","Inverno","Residenziale","Lavorativo","Media","Media",200.00,10,50
"Elettronica","Inverno","Residenziale","Lavorativo","Media","Media",100.00,10,150
"Elettronica","Inverno","Residenziale","Lavorativo","Lunga","Media",200.00,10,100
"Elettronica","Inverno","Residenziale","Lavorativo","Media","Piccola",200.00,10,100
"Elettronica","Inverno","Residenziale","Lavorativo","Media","Piccola",10.00,10,150
"Elettronica","Inverno","Residenziale","Feriale","Media","Media",200.00,10,100
"Elettronica","Inverno","Residenziale","Feriale","Media","Piccola",200.00,10,150
"Elettronica","Inverno","Residenziale","Feriale","Lunga","Media",200.00,10,100
"Elettronica","Inverno","Periferia","Lavorativo","Lunga","Media",500.00,10,100
"Elettronica","Inverno","Periferia","Lavorativo","Lunga","Media",100.00,10,150
"Elettronica","Inverno","Periferia","Lavorativo","Lunga","Media",1000.00,20,50
"Elettronica","Inverno","Periferia","Lavorativo","Lunga","Media",20.00,5,300
"Elettronica","Inverno","Periferia","Lavorativo","Lunga","Media",10.00,10,500
"Elettronica","Inverno","Periferia","Lavorativo","Lunga","Media",10.00,5,500
"Elettronica","Inverno","Periferia","Lavorativo","Lunga","Piccola",500.00,10,150
"Elettronica","Inverno","Periferia","Lavorativo","Lunga","Grande",100.00,10,100
"Elettronica","Inverno","Periferia","Lavorativo","Lunga","Piccola",1000.00,20,100
"Elettronica","Inverno","Periferia","Lavorativo","Lunga","Media",20.00,5,300
"Elettronica","Inverno","Periferia","Lavorativo","Lunga","Grande",10.00,10,200
"Elettronica","Inverno","Periferia","Lavorativo","Lunga","Media",10.00,5,500
"Elettronica","Inverno","Periferia","Feriale","Lunga","Piccola",500.00,10,200
"Elettronica","Inverno","Periferia","Feriale","Lunga","Grande",100.00,10,150
"Elettronica","Inverno","Periferia","Feriale","Lunga","Piccola",1000.00,20,150
"Elettronica","Inverno","Periferia","Feriale","Lunga","Media",20.00,5,500
"Elettronica","Inverno","Periferia","Feriale","Lunga","Grande",10.00,10,300
"Elettronica","Inverno","Periferia","Feriale","Lunga","Media",10.00,20,300
"Elettronica","Inverno","Residenziale","Lavorativo","Lunga","Media",500.00,10,200
"Elettronica","Inverno","Residenziale","Lavorativo","Lunga","Piccola",100.00,10,150
"Elettronica","Inverno","Residenziale","Lavorativo","Lunga","Grande",1000.00,20,100
"Elettronica","Inverno","Residenziale","Lavorativo","Lunga","Piccola",20.00,5,300
"Elettronica","Inverno","Residenziale","Lavorativo","Lunga","Piccola",10.00,10,500
"Elettronica","Inverno","Residenziale","Lavorativo","Lunga","Piccola",10.00,5,500
"Elettronica","Inverno","Residenziale","Lavorativo","Lunga","Piccola",500.00,10,200
"Elettronica","Inverno","Residenziale","Lavorativo","Lunga","Grande",100.00,10,150
"Elettronica","Inverno","Residenziale","Lavorativo","Lunga","Grande",1000.00,20,150
"Elettronica","Inverno","Residenziale","Lavorativo","Lunga","Media",20.00,5,300
"Elettronica","Inverno","Residenziale","Lavorativo","Lunga","Grande",10.00,10,300
"Elettronica","Inverno","Residenziale","Lavorativo","Lunga","Media",10.00,5,500
"Elettronica","Inverno","Residenziale","Feriale","Lunga","Piccola",500.00,10,200
"Elettronica","Inverno","Residenziale","Feriale","Lunga","Grande",100.00,10,200
"Elettronica","Inverno","Residenziale","Feriale","Lunga","Piccola",1000.00,20,150
"Elettronica","Inverno","Residenziale","Feriale","Lunga","Media",20.00,5,500
"Elettronica","Inverno","Residenziale","Feriale","Lunga","Grande",10.00,10,300
"Elettronica","Inverno","Residenziale","Feriale","Lunga","Media",10.00,20,300
"Elettronica","Estate","Periferia","Lavorativo","Media","Media",200.00,10,50
"Elettronica","Estate","Periferia","Lavorativo","Media","Media",100.00,10,200
"Elettronica","Estate","Periferia","Lavorativo","Lunga","Media",200.00,10,100
"Elettronica","Estate","Periferia","Lavorativo","Media","Piccola",200.00,10,50
"Elettronica","Estate","Periferia","Lavorativo","Media","Piccola",10.00,10,100
"Elettronica","Estate","Periferia","Feriale","Media","Media",200.00,10,100
"Elettronica","Estate","Periferia","Feriale","Media","Piccola",200.00,10,100
"Elettronica","Estate","Periferia","Feriale","Lunga","Media",200.00,10,100
"Elettronica","Estate","Residenziale","Lavorativo","Media","Media",200.00,10,50
"Elettronica","Estate","Residenziale","Lavorativo","Media","Media",100.00,10,150
"Elettronica","Estate","Residenziale","Lavorativo","Lunga","Media",200.00,10,100
"Elettronica","Estate","Residenziale","Lavorativo","Media","Piccola",200.00,10,100
"Elettronica","Estate","Residenziale","Lavorativo","Media","Piccola",10.00,10,150
"Elettronica","Estate","Residenziale","Feriale","Media","Media",200.00,10,100
"Elettronica","Estate","Residenziale","Feriale","Media","Piccola",200.00,10,150
"Elettronica","Estate","Residenziale","Feriale","Lunga","Media",200.00,10,100
"Elettronica","Estate","Periferia","Lavorativo","Lunga","Media",500.00,10,100
"Elettronica","Estate","Periferia","Lavorativo","Lunga","Media",100.00,10,150
"Elettronica","Estate","Periferia","Lavorativo","Lunga","Media",1000.00,20,50
"Elettronica","Estate","Periferia","Lavorativo","Lunga","Media",20.00,5,300
"Elettronica","Estate","Periferia","Lavorativo","Lunga","Media",10.00,10,500
"Elettronica","Estate","Periferia","Lavorativo","Lunga","Media",10.00,5,500
"Elettronica","Estate","Periferia","Lavorativo","Lunga","Piccola",500.00,10,150
"Elettronica","Estate","Periferia","Lavorativo","Lunga","Grande",100.00,10,100
"Elettronica","Estate","Periferia","Lavorativo","Lunga","Piccola",1000.00,20,100
"Elettronica","Estate","Periferia","Lavorativo","Lunga","Media",20.00,5,300
"Elettronica","Estate","Periferia","Lavorativo","Lunga","Grande",10.00,10,200
"Elettronica","Estate","Periferia","Lavorativo","Lunga","Media",10.00,5,500
"Elettronica","Estate","Periferia","Feriale","Lunga","Piccola",500.00,10,200
"Elettronica","Estate","Periferia","Feriale","Lunga","Grande",100.00,10,150
"Elettronica","Estate","Periferia","Feriale","Lunga","Piccola",1000.00,20,150
"Elettronica","Estate","Periferia","Feriale","Lunga","Media",20.00,5,500
"Elettronica","Estate","Periferia","Feriale","Lunga","Grande",10.00,10,300
"Elettronica","Estate","Periferia","Feriale","Lunga","Media",10.00,20,300
"Elettronica","Estate","Residenziale","Lavorativo","Lunga","Media",500.00,10,200
"Elettronica","Estate","Residenziale","Lavorativo","Lunga","Piccola",100.00,10,150
"Elettronica","Estate","Residenziale","Lavorativo","Lunga","Grande",1000.00,20,100
"Elettronica","Estate","Residenziale","Lavorativo","Lunga","Piccola",20.00,5,300
"Elettronica","Estate","Residenziale","Lavorativo","Lunga","Piccola",10.00,10,500
"Elettronica","Estate","Residenziale","Lavorativo","Lunga","Piccola",10.00,5,500
"Elettronica","Estate","Residenziale","Lavorativo","Lunga","Piccola",500.00,10,200
"Elettronica","Estate","Residenziale","Lavorativo","Lunga","Grande",100.00,10,150
"Elettronica","Estate","Residenziale","Lavorativo","Lunga","Grande",1000.00,20,150
"Elettronica","Estate","Residenziale","Lavorativo","Lunga","Media",20.00,5,300
"Elettronica","Estate","Residenziale","Lavorativo","Lunga","Grande",10.00,10,300
"Elettronica","Estate","Residenziale","Lavorativo","Lunga","Media",10.00,5,500
"Elettronica","Estate","Residenziale","Feriale","Lunga","Piccola",500.00,10,200
"Elettronica","Estate","Residenziale","Feriale","Lunga","Grande",100.00,10,200
"Elettronica","Estate","Residenziale","Feriale","Lunga","Piccola",1000.00,20,150
"Elettronica","Estate","Residenziale","Feriale","Lunga","Media",20.00,5,500
"Elettronica","Estate","Residenziale","Feriale","Lunga","Grande",10.00,10,300
"Elettronica","Estate","Residenziale","Feriale","Lunga","Media",10.00,20,300
"Elettronica","Primavera","Periferia","Lavorativo","Media","Media",200.00,7,50
"Elettronica","Primavera","Periferia","Lavorativo","Media","Media",100.00,7,200
"Elettronica","Primavera","Periferia","Lavorativo","Lunga","Media",200.00,7,100
"Elettronica","Primavera","Periferia","Lavorativo","Media","Piccola",200.00,7,50
"Elettronica","Primavera","Periferia","Lavorativo","Media","Piccola",10.00,7,100
"Elettronica","Primavera","Periferia","Feriale","Media","Media",200.00,7,100
"Elettronica","Primavera","Periferia","Feriale","Media","Piccola",200.00,10,100
"Elettronica","Primavera","Periferia","Feriale","Lunga","Media",200.00,10,100
"Elettronica","Primavera","Residenziale","Lavorativo","Media","Media",200.00,10,50
"Elettronica","Primavera","Residenziale","Lavorativo","Media","Media",100.00,10,150
"Elettronica","Primavera","Residenziale","Lavorativo","Lunga","Media",200.00,10,100
"Elettronica","Primavera","Residenziale","Lavorativo","Media","Piccola",200.00,7,100
"Elettronica","Primavera","Residenziale","Lavorativo","Media","Piccola",10.00,10,150
"Elettronica","Primavera","Residenziale","Feriale","Media","Media",200.00,10,100
"Elettronica","Primavera","Residenziale","Feriale","Media","Piccola",200.00,10,150
"Elettronica","Primavera","Residenziale","Feriale","Lunga","Media",200.00,10,100
"Elettronica","Primavera","Periferia","Lavorativo","Lunga","Media",500.00,10,100
"Elettronica","Primavera","Periferia","Lavorativo","Lunga","Media",100.00,10,150
"Elettronica","Primavera","Periferia","Lavorativo","Lunga","Media",1000.00,20,50
"Elettronica","Primavera","Periferia","Lavorativo","Lunga","Media",20.00,5,300
"Elettronica","Primavera","Periferia","Lavorativo","Lunga","Media",10.00,10,500
"Elettronica","Primavera","Periferia","Lavorativo","Lunga","Media",10.00,5,500
"Elettronica","Primavera","Periferia","Lavorativo","Lunga","Piccola",500.00,10,150
"Elettronica","Primavera","Periferia","Lavorativo","Lunga","Grande",100.00,10,100
"Elettronica","Primavera","Periferia","Lavorativo","Lunga","Piccola",1000.00,20,100
"Elettronica","Primavera","Periferia","Lavorativo","Lunga","Media",20.00,5,300
"Elettronica","Primavera","Periferia","Lavorativo","Lunga","Grande",10.00,10,200
"Elettronica","Primavera","Periferia","Lavorativo","Lunga","Media",10.00,5,500
"Elettronica","Primavera","Periferia","Feriale","Lunga","Piccola",500.00,10,200
"Elettronica","Primavera","Periferia","Feriale","Lunga","Grande",100.00,10,150
"Elettronica","Primavera","Periferia","Feriale","Lunga","Piccola",1000.00,20,150
"Elettronica","Primavera","Periferia","Feriale","Lunga","Media",20.00,5,500
"Elettronica","Primavera","Periferia","Feriale","Lunga","Grande",10.00,10,300
"Elettronica","Primavera","Periferia","Feriale","Lunga","Media",10.00,20,300
"Elettronica","Primavera","Residenziale","Lavorativo","Lunga","Media",500.00,10,200
"Elettronica","Primavera","Residenziale","Lavorativo","Lunga","Piccola",100.00,10,150
"Elettronica","Primavera","Residenziale","Lavorativo","Lunga","Grande",1000.00,20,100
"Elettronica","Primavera","Residenziale","Lavorativo","Lunga","Piccola",20.00,5,300
"Elettronica","Primavera","Residenziale","Lavorativo","Lunga","Piccola",10.00,10,500
"Elettronica","Primavera","Residenziale","Lavorativo","Lunga","Piccola",10.00,5,500
"Elettronica","Primavera","Residenziale","Lavorativo","Lunga","Piccola",500.00,10,200
"Elettronica","Primavera","Residenziale","Lavorativo","Lunga","Grande",100.00,10,150
"Elettronica","Primavera","Residenziale","Lavorativo","Lunga","Grande",1000.00,20,150
"Elettronica","Primavera","Residenziale","Lavorativo","Lunga","Media",20.00,5,300
"Elettronica","Primavera","Residenziale","Lavorativo","Lunga","Grande",10.00,10,300
"Elettronica","Primavera","Residenziale","Lavorativo","Lunga","Media",10.00,5,500
"Elettronica","Primavera","Residenziale","Feriale","Lunga","Piccola",500.00,10,200
"Elettronica","Primavera","Residenziale","Feriale","Lunga","Grande",100.00,10,200
"Elettronica","Primavera","Residenziale","Feriale","Lunga","Piccola",1000.00,20,150
"Elettronica","Primavera","Residenziale","Feriale","Lunga","Media",20.00,5,500
"Elettronica","Primavera","Residenziale","Feriale","Lunga","Grande",10.00,10,300
"Elettronica","Primavera","Residenziale","Feriale","Lunga","Media",10.00,20,300
"Elettronica","Autunno","Periferia","Lavorativo","Media","Media",200.00,10,50
"Elettronica","Autunno","Periferia","Lavorativo","Media","Media",100.00,10,200
"Elettronica","Autunno","Periferia","Lavorativo","Lunga","Media",200.00,10,100
"Elettronica","Autunno","Periferia","Lavorativo","Media","Piccola",200.00,10,50
"Elettronica","Autunno","Periferia","Lavorativo","Media","Piccola",10.00,10,100
"Elettronica","Autunno","Periferia","Feriale","Media","Media",200.00,10,100
